,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
47385,2,2024-01-01 16:03:21,2024-01-01 16:19:26,1.0,3.36,1.0,N,143,263,1,17.7,0.0,0.5,4.34,0.0,1.0,26.04,2.5,0.0
476531,2,2024-01-06 16:47:51,2024-01-06 17:08:54,1.0,3.06,1.0,N,43,170,2,20.5,0.0,0.5,0.0,0.0,1.0,24.5,2.5,0.0
1228915,2,2024-01-15 00:04:25,2024-01-15 00:21:55,2.0,13.76,1.0,N,132,223,1,51.3,1.0,0.5,11.11,0.0,1.0,66.66,0.0,1.75
2443912,2,2024-01-27 21:23:09,2024-01-27 21:29:02,1.0,0.86,1.0,N,79,4,1,7.2,1.0,0.5,3.05,0.0,1.0,15.25,2.5,0.0
1830824,2,2024-01-21 14:34:47,2024-01-21 14:43:13,1.0,1.71,1.0,N,142,237,1,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0
2241004,2,2024-01-25 21:03:36,2024-01-25 21:09:37,1.0,1.1,1.0,N,163,237,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
1318908,1,2024-01-16 10:40:28,2024-01-16 10:55:32,1.0,3.0,1.0,N,186,170,1,15.6,2.5,0.5,3.9,0.0,1.0,23.5,2.5,0.0
379222,2,2024-01-05 16:34:07,2024-01-05 16:37:30,3.0,0.55,1.0,N,237,237,2,5.8,2.5,0.5,0.0,0.0,1.0,12.3,2.5,0.0
1616489,2,2024-01-19 10:33:35,2024-01-19 10:35:02,1.0,0.38,1.0,N,48,48,1,3.7,0.0,0.5,1.54,0.0,1.0,9.24,2.5,0.0
2136891,2,2024-01-24 21:39:43,2024-01-24 21:57:26,1.0,3.97,1.0,N,87,79,1,21.2,1.0,0.5,4.5,0.0,1.0,30.7,2.5,0.0
